col0 col1 col2
bibcodelist(y1-y2) fluxdata(filtername) plx_qual
cel gcrv pm
cl.g gen pm_bibcode
coo(opt) gj pm_err_angle
coo_bibcode hbet pm_err_maja
coo_err_angle hbet1 pm_err_mina
coo_err_maja hgam pm_qual
coo_err_mina id(opt) pmdec
coo_qual iras pmdec_prec
coo_wavelength irc pmra
coordinates iso pmra_prec
dec(opt) iue pos
dec_prec jp11 posa
dim main_id propermotions
dim_angle measurements ra(opt)
dim_bibcode mesplx ra_prec
dim_incl mespm rot
dim_majaxis mk rv_value
dim_minaxis morphtype rvel
dim_qual mt rvz_bibcode
dim_wavelength mt_bibcode rvz_error
dimensions mt_qual rvz_qual
einstein orv rvz_radvel
fe_h otype rvz_type
flux(filtername) otype(opt) rvz_wavelength
flux_bibcode(filtername) parallax sao
flux_error(filtername) plx sp
flux_name(filtername) plx_bibcode sp_bibcode
flux_qual(filtername) plx_error sp_nature
flux_unit(filtername) plx_prec sp_qual
sptype -- --
